
qw1l	tợ
lirl	lịt

li1o	luị
liuo	luỵu
lijo	luỵ
lico	luỵch
lifo	luỵnh
lino	luỵn
limo	luỵm
livo	luỵp
liro	luỵt

lk1l	lịa
lkul	liệu
lkjl	liệy
lkcl	liệc
lkfl	liệng
lknl	liện
lkml	liệm
lkvl	liệp
lkrl	liệt

lk1o	luỵa
lkuo	luyệu
lkjo	luyệy
lkco	luyệc
lkfo	luyệng
lkno	luyện
lkmo	luyệm
lkvo	luyệp
lkro	luyệt

ll1l	lộ
llul	lộu
lljl	lội
llcl	lộc
llfl	lộng
llnl	lộn
llml	lộm
llvl	lộp
llrl	lột

ll1o	loộ
lluo	loộu
lljo	loội
llco	loộc
llfo	loộng
llno	loộn
llmo	loộm
llvo	loộp
llro	loột

ls1l	lạnh
lsul	lậu
lsjl	lậy
lscl	lậc
lsfl	lậng
lsnl	lận
lsml	lậm
lsvl	lập
lsrl	lật

ls1o	loạnh
lsuo	luậu
lsjo	luậy
lsco	luậc
lsfo	luậng
lsno	luận
lsmo	luậm
lsvo	luập
lsro	luật

lq1l	lạch
lqul	lạu
lqjl	lạy
lqcl	lặc
lqfl	lặng
lqnl	lặn
lqml	lặm
lqvl	lặp
lqrl	lặt

lq1o	loạch
lquo	loạu
lqjo	loạy
lqco	loặc
lqfo	loặng
lqno	loặn
lqmo	loặm
lqvo	loặp
lqro	loặt

lt1l	lự
ltul	lựu
ltjl	lựi
ltcl	lực
ltfl	lựng
ltnl	lựn
ltml	lựm
ltvl	lựp
ltrl	lựt

lt1o	lựa
ltuo	lượu
ltjo	lượi
ltco	lược
ltfo	lượng
ltno	lượn
ltmo	lượm
ltvo	lượp
ltro	lượt

lp1l	lụ
lpul	lụu
lpjl	lụi
lpcl	lục
lpfl	lụng
lpnl	lụn
lpml	lụm
lpvl	lụp
lprl	lụt

lp1o	lụa
lpuo	luộu
lpjo	luội
lpco	luộc
lpfo	luộng
lpno	luộn
lpmo	luộm
lpvo	luộp
lpro	luột

nw1l	nợ
nwul	nợu
nwjl	nợi
nwcl	nợc
nwfl	nợng
nwnl	nợn
nwml	nợm
nwvl	nợp
nwrl	nợt

nw1o	nuợ
nwuo	nuợu
nwjo	nuợi
nwco	nuợc
nwfo	nuợng
nwno	nuợn
nwmo	nuợm
nwvo	nuợp
nwro	nuợt

no1l	nọ
noul	nọu
nojl	nọi
nocl	nọc
nofl	nọng
nonl	nọn
noml	nọm
novl	nọp
norl	nọt

no1o	noọ
nouo	noọu
nojo	noọi
noco	noọc
nofo	noọng
nono	noọn
nomo	noọm
novo	noọp
noro	noọt

na1l	nạ
naul	nạo
najl	nại
nacl	nạc
nafl	nạng
nanl	nạn
naml	nạm
navl	nạp
narl	nạt

na1o	noạ
nauo	noạo
najo	noại
naco	noạc
nafo	noạng
nano	noạn
namo	noạm
navo	noạp
naro	noạt

ne1l	nẹ
neul	nẹo
nejl	nẹi
necl	nẹc
nefl	nẹng
nenl	nẹn
neml	nẹm
nevl	nẹp
nerl	nẹt

ne1o	noẹ
neuo	noẹo
nejo	noẹi
neco	noẹc
nefo	noẹng
neno	noẹn
nemo	noẹm
nevo	noẹp
nero	noẹt

nd1l	nệ
ndul	nệu
ndjl	nệy
ndcl	nệch
ndfl	nệnh
ndnl	nện
ndml	nệm
ndvl	nệp
ndrl	nệt

nd1o	nuệ
nduo	nuệu
ndjo	nuệy
ndco	nuệch
ndfo	nuệnh
ndno	nuện
ndmo	nuệm
ndvo	nuệp
ndro	nuệt

ni1l	nị
niul	nịu
nijl	nỵ
nicl	nịch
nifl	nịnh
ninl	nịn
niml	nịm
nivl	nịp
nirl	nịt

ni1o	nuị
niuo	nuỵu
nijo	nuỵ
nico	nuỵch
nifo	nuỵnh
nino	nuỵn
nimo	nuỵm
nivo	nuỵp
niro	nuỵt

nk1l	nịa
nkul	niệu
nkjl	niệy
nkcl	niệc
nkfl	niệng
nknl	niện
nkml	niệm
nkvl	niệp
nkrl	niệt

nk1o	nuỵa
nkuo	nuyệu
nkjo	nuyệy
nkco	nuyệc
nkfo	nuyệng
nkno	nuyện
nkmo	nuyệm
nkvo	nuyệp
nkro	nuyệt

nl1l	nộ
nlul	nộu
nljl	nội
nlcl	nộc
nlfl	nộng
nlnl	nộn
nlml	nộm
nlvl	nộp
nlrl	nột

nl1o	noộ
nluo	noộu
nljo	noội
nlco	noộc
nlfo	noộng
nlno	noộn
nlmo	noộm
nlvo	noộp
nlro	noột

ns1l	nạnh
nsul	nậu
nsjl	nậy
nscl	nậc
nsfl	nậng
nsnl	nận
nsml	nậm
nsvl	nập
nsrl	nật

ns1o	noạnh
nsuo	nuậu
nsjo	nuậy
nsco	nuậc
nsfo	nuậng
nsno	nuận
nsmo	nuậm
nsvo	nuập
nsro	nuật

nq1l	nạch
nqul	nạu
nqjl	nạy
nqcl	nặc
nqfl	nặng
nqnl	nặn
nqml	nặm
nqvl	nặp
nqrl	nặt

nq1o	noạch
nquo	noạu
nqjo	noạy
nqco	noặc
nqfo	noặng
nqno	noặn
nqmo	noặm
nqvo	noặp
nqro	noặt

nt1l	nự
ntul	nựu
ntjl	nựi
ntcl	nực
ntfl	nựng
ntnl	nựn
ntml	nựm
ntvl	nựp
ntrl	nựt

nt1o	nựa
ntuo	nượu
ntjo	nượi
ntco	nược
ntfo	nượng
ntno	nượn
ntmo	nượm
ntvo	nượp
ntro	nượt

np1l	nụ
npul	nụu
npjl	nụi
npcl	nục
npfl	nụng
npnl	nụn
npml	nụm
npvl	nụp
nprl	nụt

np1o	nụa
npuo	nuộu
npjo	nuội
npco	nuộc
npfo	nuộng
npno	nuộn
npmo	nuộm
npvo	nuộp
npro	nuột

iw1l	nhợ
iwul	nhợu
iwjl	nhợi
iwcl	nhợc
iwfl	nhợng
iwnl	nhợn
iwml	nhợm
iwvl	nhợp
iwrl	nhợt

iw1o	nhuợ
iwuo	nhuợu
iwjo	nhuợi
iwco	nhuợc
iwfo	nhuợng
iwno	nhuợn
iwmo	nhuợm
iwvo	nhuợp
iwro	nhuợt

io1l	nhọ
ioul	nhọu
iojl	nhọi
iocl	nhọc
iofl	nhọng
ionl	nhọn
ioml	nhọm
iovl	nhọp
iorl	nhọt

io1o	nhoọ
iouo	nhoọu
iojo	nhoọi
ioco	nhoọc
iofo	nhoọng
iono	nhoọn
iomo	nhoọm
iovo	nhoọp
ioro	nhoọt

ia1l	nhạ
iaul	nhạo
iajl	nhại
iacl	nhạc
iafl	nhạng
ianl	nhạn
iaml	nhạm
iavl	nhạp
iarl	nhạt

ia1o	nhoạ
iauo	nhoạo
iajo	nhoại
iaco	nhoạc
iafo	nhoạng
iano	nhoạn
iamo	nhoạm
iavo	nhoạp
iaro	nhoạt

ie1l	nhẹ
ieul	nhẹo
iejl	nhẹi
iecl	nhẹc
iefl	nhẹng
ienl	nhẹn
ieml	nhẹm
ievl	nhẹp
ierl	nhẹt

ie1o	nhoẹ
ieuo	nhoẹo
iejo	nhoẹi
ieco	nhoẹc
iefo	nhoẹng
ieno	nhoẹn
iemo	nhoẹm
ievo	nhoẹp
iero	nhoẹt

id1l	nhệ
idul	nhệu
idjl	nhệy
idcl	nhệch
idfl	nhệnh
idnl	nhện
idml	nhệm
idvl	nhệp
idrl	nhệt

id1o	nhuệ
iduo	nhuệu
idjo	nhuệy
idco	nhuệch
idfo	nhuệnh
idno	nhuện
idmo	nhuệm
idvo	nhuệp
idro	nhuệt

ii1l	nhị
iiul	nhịu
iijl	nhỵ
iicl	nhịch
iifl	nhịnh
iinl	nhịn
iiml	nhịm
iivl	nhịp
iirl	nhịt

ii1o	nhuị
iiuo	nhuỵu
iijo	nhuỵ
iico	nhuỵch
iifo	nhuỵnh
iino	nhuỵn
iimo	nhuỵm
iivo	nhuỵp
iiro	nhuỵt

ik1l	nhịa
ikul	nhiệu
ikjl	nhiệy
ikcl	nhiệc
ikfl	nhiệng
iknl	nhiện
ikml	nhiệm
ikvl	nhiệp
ikrl	nhiệt

ik1o	nhuỵa
ikuo	nhuyệu
ikjo	nhuyệy
ikco	nhuyệc
ikfo	nhuyệng
ikno	nhuyện
ikmo	nhuyệm
ikvo	nhuyệp
ikro	nhuyệt

il1l	nhộ
ilul	nhộu
iljl	nhội
ilcl	nhộc
ilfl	nhộng
ilnl	nhộn
ilml	nhộm
ilvl	nhộp
ilrl	nhột

il1o	nhoộ
iluo	nhoộu
iljo	nhoội
ilco	nhoộc
ilfo	nhoộng
ilno	nhoộn
ilmo	nhoộm
ilvo	nhoộp
ilro	nhoột

is1l	nhạnh
isul	nhậu
isjl	nhậy
iscl	nhậc
isfl	nhậng
isnl	nhận
isml	nhậm
isvl	nhập
isrl	nhật

is1o	nhoạnh
isuo	nhuậu
isjo	nhuậy
isco	nhuậc
isfo	nhuậng
isno	nhuận
ismo	nhuậm
isvo	nhuập
isro	nhuật

iq1l	nhạch
iqul	nhạu
iqjl	nhạy
iqcl	nhặc
iqfl	nhặng
iqnl	nhặn
iqml	nhặm
iqvl	nhặp
iqrl	nhặt

iq1o	nhoạch
iquo	nhoạu
iqjo	nhoạy
iqco	nhoặc
iqfo	nhoặng
iqno	nhoặn
iqmo	nhoặm
iqvo	nhoặp
iqro	nhoặt

it1l	nhự
itul	nhựu
itjl	nhựi
itcl	nhực
itfl	nhựng
itnl	nhựn
itml	nhựm
itvl	nhựp
itrl	nhựt

it1o	nhựa
ituo	nhượu
itjo	nhượi
itco	nhược
itfo	nhượng
itno	nhượn
itmo	nhượm
itvo	nhượp
itro	nhượt

ip1l	nhụ
ipul	nhụu
ipjl	nhụi
ipcl	nhục
ipfl	nhụng
ipnl	nhụn
ipml	nhụm
ipvl	nhụp
iprl	nhụt

ip1o	nhụa
ipuo	nhuộu
ipjo	nhuội
ipco	nhuộc
ipfo	nhuộng
ipno	nhuộn
ipmo	nhuộm
ipvo	nhuộp
ipro	nhuột

mw1l	mợ
mwul	mợu
mwjl	mợi
mwcl	mợc
mwfl	mợng
mwnl	mợn
mwml	mợm
mwvl	mợp
mwrl	mợt

mw1o	muợ
mwuo	muợu
mwjo	muợi
mwco	muợc
mwfo	muợng
mwno	muợn
mwmo	muợm
mwvo	muợp
mwro	muợt

mo1l	mọ
moul	mọu
mojl	mọi
mocl	mọc
mofl	mọng
monl	mọn
moml	mọm
movl	mọp
morl	mọt

mo1o	moọ
mouo	moọu
mojo	moọi
moco	moọc
mofo	moọng
mono	moọn
momo	moọm
movo	moọp
moro	moọt

ma1l	mạ
maul	mạo
majl	mại
macl	mạc
mafl	mạng
manl	mạn
maml	mạm
mavl	mạp
marl	mạt

ma1o	moạ
mauo	moạo
majo	moại
maco	moạc
mafo	moạng
mano	moạn
mamo	moạm
mavo	moạp
maro	moạt

me1l	mẹ
meul	mẹo
mejl	mẹi
mecl	mẹc
mefl	mẹng
menl	mẹn
meml	mẹm
mevl	mẹp
merl	mẹt

me1o	moẹ
meuo	moẹo
mejo	moẹi
meco	moẹc
mefo	moẹng
meno	moẹn
memo	moẹm
mevo	moẹp
mero	moẹt

md1l	mệ
mdul	mệu
mdjl	mệy
mdcl	mệch
mdfl	mệnh
mdnl	mện
mdml	mệm
mdvl	mệp
mdrl	mệt

md1o	muệ
mduo	muệu
mdjo	muệy
mdco	muệch
mdfo	muệnh
mdno	muện
mdmo	muệm
mdvo	muệp
mdro	muệt

mi1l	mị
miul	mịu
mijl	mỵ
micl	mịch
mifl	mịnh
minl	mịn
miml	mịm
mivl	mịp
mirl	mịt

mi1o	muị
miuo	muỵu
mijo	muỵ
mico	muỵch
mifo	muỵnh
mino	muỵn
mimo	muỵm
mivo	muỵp
miro	muỵt

mk1l	mịa
mkul	miệu
mkjl	miệy
mkcl	miệc
mkfl	miệng
mknl	miện
mkml	miệm
mkvl	miệp
mkrl	miệt

mk1o	muỵa
mkuo	muyệu
mkjo	muyệy
mkco	muyệc
mkfo	muyệng
mkno	muyện
mkmo	muyệm
mkvo	muyệp
mkro	muyệt

ml1l	mộ
mlul	mộu
mljl	mội
mlcl	mộc
mlfl	mộng
mlnl	mộn
mlml	mộm
mlvl	mộp
mlrl	một

ml1o	moộ
mluo	moộu
mljo	moội
mlco	moộc
mlfo	moộng
mlno	moộn
mlmo	moộm
mlvo	moộp
mlro	moột

ms1l	mạnh
msul	mậu
msjl	mậy
mscl	mậc
msfl	mậng
msnl	mận
msml	mậm
msvl	mập
msrl	mật

ms1o	moạnh
msuo	muậu
msjo	muậy
msco	muậc
msfo	muậng
msno	muận
msmo	muậm
msvo	muập
msro	muật

mq1l	mạch
mqul	mạu
mqjl	mạy
mqcl	mặc
mqfl	mặng
mqnl	mặn
mqml	mặm
mqvl	mặp
mqrl	mặt

mq1o	moạch
mquo	moạu
mqjo	moạy
mqco	moặc
mqfo	moặng
mqno	moặn
mqmo	moặm
mqvo	moặp
mqro	moặt

mt1l	mự
mtul	mựu
mtjl	mựi
mtcl	mực
mtfl	mựng
mtnl	mựn
mtml	mựm
mtvl	mựp
mtrl	mựt

mt1o	mựa
mtuo	mượu
mtjo	mượi
mtco	mược
mtfo	mượng
mtno	mượn
mtmo	mượm
mtvo	mượp
mtro	mượt

mp1l	mụ
mpul	mụu
mpjl	mụi
mpcl	mục
mpfl	mụng
mpnl	mụn
mpml	mụm
mpvl	mụp
mprl	mụt

mp1o	mụa
mpuo	muộu
mpjo	muội
mpco	muộc
mpfo	muộng
mpno	muộn
mpmo	muộm
mpvo	muộp
mpro	muột

fw1l	phợ
fwul	phợu
fwjl	phợi
fwcl	phợc
fwfl	phợng
fwnl	phợn
fwml	phợm
fwvl	phợp
fwrl	phợt

fw1o	phuợ
fwuo	phuợu
fwjo	phuợi
fwco	phuợc
fwfo	phuợng
fwno	phuợn
fwmo	phuợm
fwvo	phuợp
fwro	phuợt

fo1l	phọ
foul	phọu
fojl	phọi
focl	phọc
fofl	phọng
fonl	phọn
foml	phọm
fovl	phọp
forl	phọt

fo1o	phoọ
fouo	phoọu
fojo	phoọi
foco	phoọc
fofo	phoọng
fono	phoọn
fomo	phoọm
fovo	phoọp
foro	phoọt

fa1l	phạ
faul	phạo
fajl	phại
facl	phạc
fafl	phạng
fanl	phạn
faml	phạm
favl	phạp
farl	phạt

fa1o	phoạ
fauo	phoạo
fajo	phoại
faco	phoạc
fafo	phoạng
fano	phoạn
famo	phoạm
favo	phoạp
faro	phoạt

fe1l	phẹ
feul	phẹo
fejl	phẹi
fecl	phẹc
fefl	phẹng
fenl	phẹn
feml	phẹm
fevl	phẹp
ferl	phẹt

fe1o	phoẹ
feuo	phoẹo
fejo	phoẹi
feco	phoẹc
fefo	phoẹng
feno	phoẹn
femo	phoẹm
fevo	phoẹp
fero	phoẹt

fd1l	phệ
fdul	phệu
fdjl	phệy
fdcl	phệch
fdfl	phệnh
fdnl	phện
fdml	phệm
fdvl	phệp
fdrl	phệt

fd1o	phuệ
fduo	phuệu
fdjo	phuệy
fdco	phuệch
fdfo	phuệnh
fdno	phuện
fdmo	phuệm
fdvo	phuệp
fdro	phuệt

fi1l	phị
fiul	phịu
fijl	phỵ
ficl	phịch
fifl	phịnh
finl	phịn
fiml	phịm
fivl	phịp
firl	phịt

fi1o	phuị
fiuo	phuỵu
fijo	phuỵ
fico	phuỵch
fifo	phuỵnh
fino	phuỵn
fimo	phuỵm
fivo	phuỵp
firo	phuỵt

fk1l	phịa
fkul	phiệu
fkjl	phiệy
fkcl	phiệc
fkfl	phiệng
fknl	phiện
fkml	phiệm
fkvl	phiệp
fkrl	phiệt

fk1o	phuỵa
fkuo	phuyệu
fkjo	phuyệy
fkco	phuyệc
fkfo	phuyệng
fkno	phuyện
fkmo	phuyệm
fkvo	phuyệp
fkro	phuyệt

fl1l	phộ
flul	phộu
fljl	phội
flcl	phộc
flfl	phộng
flnl	phộn
flml	phộm
flvl	phộp
flrl	phột

fl1o	phoộ
fluo	phoộu
fljo	phoội
flco	phoộc
flfo	phoộng
flno	phoộn
flmo	phoộm
flvo	phoộp
flro	phoột

fs1l	phạnh
fsul	phậu
fsjl	phậy
fscl	phậc
fsfl	phậng
fsnl	phận
fsml	phậm
fsvl	phập
fsrl	phật

fs1o	phoạnh
fsuo	phuậu
fsjo	phuậy
fsco	phuậc
fsfo	phuậng
fsno	phuận
fsmo	phuậm
fsvo	phuập
fsro	phuật

fq1l	phạch
fqul	phạu
fqjl	phạy
fqcl	phặc
fqfl	phặng
fqnl	phặn
fqml	phặm
fqvl	phặp
fqrl	phặt

fq1o	phoạch
fquo	phoạu
fqjo	phoạy
fqco	phoặc
fqfo	phoặng
fqno	phoặn
fqmo	phoặm
fqvo	phoặp
fqro	phoặt

ft1l	phự
ftul	phựu
ftjl	phựi
ftcl	phực
ftfl	phựng
ftnl	phựn
ftml	phựm
ftvl	phựp
ftrl	phựt

ft1o	phựa
ftuo	phượu
ftjo	phượi
ftco	phược
ftfo	phượng
ftno	phượn
ftmo	phượm
ftvo	phượp
ftro	phượt

fp1l	phụ
fpul	phụu
fpjl	phụi
fpcl	phục
fpfl	phụng
fpnl	phụn
fpml	phụm
fpvl	phụp
fprl	phụt

fp1o	phụa
fpuo	phuộu
fpjo	phuội
fpco	phuộc
fpfo	phuộng
fpno	phuộn
fpmo	phuộm
fpvo	phuộp
fpro	phuột

vw1l	vợ
vwul	vợu
vwjl	vợi
vwcl	vợc
vwfl	vợng
vwnl	vợn
vwml	vợm
vwvl	vợp
vwrl	vợt

vw1o	vuợ
vwuo	vuợu
vwjo	vuợi
vwco	vuợc
vwfo	vuợng
vwno	vuợn
vwmo	vuợm
vwvo	vuợp
vwro	vuợt

vo1l	vọ
voul	vọu
vojl	vọi
vocl	vọc
vofl	vọng
vonl	vọn
voml	vọm
vovl	vọp
vorl	vọt

vo1o	voọ
vouo	voọu
vojo	voọi
voco	voọc
vofo	voọng
vono	voọn
vomo	voọm
vovo	voọp
voro	voọt

va1l	vạ
vaul	vạo
vajl	vại
vacl	vạc
vafl	vạng
vanl	vạn
vaml	vạm
vavl	vạp
varl	vạt

va1o	voạ
vauo	voạo
vajo	voại
vaco	voạc
vafo	voạng
vano	voạn
vamo	voạm
vavo	voạp
varo	voạt

ve1l	vẹ
veul	vẹo
vejl	vẹi
vecl	vẹc
vefl	vẹng
venl	vẹn
veml	vẹm
vevl	vẹp
verl	vẹt

ve1o	voẹ
veuo	voẹo
vejo	voẹi
veco	voẹc
vefo	voẹng
veno	voẹn
vemo	voẹm
vevo	voẹp
vero	voẹt

vd1l	vệ
vdul	vệu
vdjl	vệy
vdcl	vệch
vdfl	vệnh
vdnl	vện
vdml	vệm
vdvl	vệp
vdrl	vệt

vd1o	vuệ
vduo	vuệu
vdjo	vuệy
vdco	vuệch
vdfo	vuệnh
vdno	vuện
vdmo	vuệm
vdvo	vuệp
vdro	vuệt

vi1l	vị
viul	vịu
vijl	vỵ
vicl	vịch
vifl	vịnh
vinl	vịn
viml	vịm
vivl	vịp
virl	vịt

vi1o	vuị
viuo	vuỵu
vijo	vuỵ
vico	vuỵch
vifo	vuỵnh
vino	vuỵn
vimo	vuỵm
vivo	vuỵp
viro	vuỵt

vk1l	vịa
vkul	việu
vkjl	việy
vkcl	việc
vkfl	việng
vknl	viện
vkml	việm
vkvl	việp
vkrl	việt

vk1o	vuỵa
vkuo	vuyệu
vkjo	vuyệy
vkco	vuyệc
vkfo	vuyệng
vkno	vuyện
vkmo	vuyệm
vkvo	vuyệp
vkro	vuyệt

vl1l	vộ
vlul	vộu
vljl	vội
vlcl	vộc
vlfl	vộng
vlnl	vộn
vlml	vộm
vlvl	vộp
vlrl	vột

vl1o	voộ
vluo	voộu
vljo	voội
vlco	voộc
vlfo	voộng
vlno	voộn
vlmo	voộm
vlvo	voộp
vlro	voột

vs1l	vạnh
vsul	vậu
vsjl	vậy
vscl	vậc
vsfl	vậng
vsnl	vận
vsml	vậm
vsvl	vập
vsrl	vật

vs1o	voạnh
vsuo	vuậu
vsjo	vuậy
vsco	vuậc
vsfo	vuậng
vsno	vuận
vsmo	vuậm
vsvo	vuập
vsro	vuật

vq1l	vạch
vqul	vạu
vqjl	vạy
vqcl	vặc
vqfl	vặng
vqnl	vặn
vqml	vặm
vqvl	vặp
vqrl	vặt

vq1o	voạch
vquo	voạu
vqjo	voạy
vqco	voặc
vqfo	voặng
vqno	voặn
vqmo	voặm
vqvo	voặp
vqro	voặt

vt1l	vự
vtul	vựu
vtjl	vựi
vtcl	vực
vtfl	vựng
vtnl	vựn
vtml	vựm
vtvl	vựp
vtrl	vựt

vt1o	vựa
vtuo	vượu
vtjo	vượi
vtco	vược
vtfo	vượng
vtno	vượn
vtmo	vượm
vtvo	vượp
vtro	vượt

vp1l	vụ
vpul	vụu
vpjl	vụi
vpcl	vục
vpfl	vụng
vpnl	vụn
vpml	vụm
vpvl	vụp
vprl	vụt

vp1o	vụa
vpuo	vuộu
vpjo	vuội
vpco	vuộc
vpfo	vuộng
vpno	vuộn
vpmo	vuộm
vpvo	vuộp
vpro	vuột

ew1l	bợ
ewul	bợu
ewjl	bợi
ewcl	bợc
ewfl	bợng
ewnl	bợn
ewml	bợm
ewvl	bợp
ewrl	bợt

ew1o	buợ
ewuo	buợu
ewjo	buợi
ewco	buợc
ewfo	buợng
ewno	buợn
ewmo	buợm
ewvo	buợp
ewro	buợt

eo1l	bọ
eoul	bọu
eojl	bọi
eocl	bọc
eofl	bọng
eonl	bọn
eoml	bọm
eovl	bọp
eorl	bọt

eo1o	boọ
eouo	boọu
eojo	boọi
eoco	boọc
eofo	boọng
eono	boọn
eomo	boọm
eovo	boọp
eoro	boọt

ea1l	bạ
eaul	bạo
eajl	bại
eacl	bạc
eafl	bạng
eanl	bạn
eaml	bạm
eavl	bạp
earl	bạt

ea1o	boạ
eauo	boạo
eajo	boại
eaco	boạc
eafo	boạng
eano	boạn
eamo	boạm
eavo	boạp
earo	boạt

ee1l	bẹ
eeul	bẹo
eejl	bẹi
eecl	bẹc
eefl	bẹng
eenl	bẹn
eeml	bẹm
eevl	bẹp
eerl	bẹt

ee1o	boẹ
eeuo	boẹo
eejo	boẹi
eeco	boẹc
eefo	boẹng
eeno	boẹn
eemo	boẹm
eevo	boẹp
eero	boẹt

ed1l	bệ
edul	bệu
edjl	bệy
edcl	bệch
edfl	bệnh
ednl	bện
edml	bệm
edvl	bệp
edrl	bệt

ed1o	buệ
eduo	buệu
edjo	buệy
edco	buệch
edfo	buệnh
edno	buện
edmo	buệm
edvo	buệp
edro	buệt

ei1l	bị
eiul	bịu
eijl	bỵ
eicl	bịch
eifl	bịnh
einl	bịn
eiml	bịm
eivl	bịp
eirl	bịt

ei1o	buị
eiuo	buỵu
eijo	buỵ
eico	buỵch
eifo	buỵnh
eino	buỵn
eimo	buỵm
eivo	buỵp
eiro	buỵt

ek1l	bịa
ekul	biệu
ekjl	biệy
ekcl	biệc
ekfl	biệng
eknl	biện
ekml	biệm
ekvl	biệp
ekrl	biệt

ek1o	buỵa
ekuo	buyệu
ekjo	buyệy
ekco	buyệc
ekfo	buyệng
ekno	buyện
ekmo	buyệm
ekvo	buyệp
ekro	buyệt

el1l	bộ
elul	bộu
eljl	bội
elcl	bộc
elfl	bộng
elnl	bộn
elml	bộm
elvl	bộp
elrl	bột

el1o	boộ
eluo	boộu
eljo	boội
elco	boộc
elfo	boộng
elno	boộn
elmo	boộm
elvo	boộp
elro	boột

es1l	bạnh
esul	bậu
esjl	bậy
escl	bậc
esfl	bậng
esnl	bận
esml	bậm
esvl	bập
esrl	bật

es1o	boạnh
esuo	buậu
esjo	buậy
esco	buậc
esfo	buậng
esno	buận
esmo	buậm
esvo	buập
esro	buật

eq1l	bạch
equl	bạu
eqjl	bạy
eqcl	bặc
eqfl	bặng
eqnl	bặn
eqml	bặm
eqvl	bặp
eqrl	bặt

eq1o	boạch
equo	boạu
eqjo	boạy
eqco	boặc
eqfo	boặng
eqno	boặn
eqmo	boặm
eqvo	boặp
eqro	boặt

et1l	bự
etul	bựu
etjl	bựi
etcl	bực
etfl	bựng
etnl	bựn
etml	bựm
etvl	bựp
etrl	bựt

et1o	bựa
etuo	bượu
etjo	bượi
etco	bược
etfo	bượng
etno	bượn
etmo	bượm
etvo	bượp
etro	bượt

ep1l	bụ
epul	bụu
epjl	bụi
epcl	bục
epfl	bụng
epnl	bụn
epml	bụm
epvl	bụp
eprl	bụt

ep1o	bụa
epuo	buộu
epjo	buội
epco	buộc
epfo	buộng
epno	buộn
epmo	buộm
epvo	buộp
epro	buột

sw1l	sợ
swul	sợu
swjl	sợi
swcl	sợc
swfl	sợng
swnl	sợn
swml	sợm
swvl	sợp
swrl	sợt

sw1o	suợ
swuo	suợu
swjo	suợi
swco	suợc
swfo	suợng
swno	suợn
swmo	suợm
swvo	suợp
swro	suợt

so1l	sọ
soul	sọu
sojl	sọi
socl	sọc
sofl	sọng
sonl	sọn
soml	sọm
sovl	sọp
sorl	sọt

so1o	soọ
souo	soọu
sojo	soọi
soco	soọc
sofo	soọng
sono	soọn
somo	soọm
sovo	soọp
soro	soọt

sa1l	sạ
saul	sạo
sajl	sại
sacl	sạc
safl	sạng
sanl	sạn
saml	sạm
savl	sạp
sarl	sạt

sa1o	soạ
sauo	soạo
sajo	soại
saco	soạc
safo	soạng
sano	soạn
samo	soạm
savo	soạp
saro	soạt

se1l	sẹ
seul	sẹo
sejl	sẹi
secl	sẹc
sefl	sẹng
senl	sẹn
seml	sẹm
sevl	sẹp
serl	sẹt

se1o	soẹ
seuo	soẹo
sejo	soẹi
seco	soẹc
sefo	soẹng
seno	soẹn
semo	soẹm
sevo	soẹp
sero	soẹt

sd1l	sệ
sdul	sệu
sdjl	sệy
sdcl	sệch
sdfl	sệnh
sdnl	sện
sdml	sệm
sdvl	sệp
sdrl	sệt

sd1o	suệ
sduo	suệu
sdjo	suệy
sdco	suệch
sdfo	suệnh
sdno	suện
sdmo	suệm
sdvo	suệp
sdro	suệt

si1l	sị
siul	sịu
sijl	sỵ
sicl	sịch
sifl	sịnh
sinl	sịn
siml	sịm
sivl	sịp
sirl	sịt

si1o	suị
siuo	suỵu
sijo	suỵ
sico	suỵch
sifo	suỵnh
sino	suỵn
simo	suỵm
sivo	suỵp
siro	suỵt

sk1l	sịa
skul	siệu
skjl	siệy
skcl	siệc
skfl	siệng
sknl	siện
skml	siệm
skvl	siệp
skrl	siệt

sk1o	suỵa
skuo	suyệu
skjo	suyệy
skco	suyệc
skfo	suyệng
skno	suyện
skmo	suyệm
skvo	suyệp
skro	suyệt

sl1l	sộ
slul	sộu
sljl	sội
slcl	sộc
slfl	sộng
slnl	sộn
slml	sộm
slvl	sộp
slrl	sột

sl1o	soộ
sluo	soộu
sljo	soội
slco	soộc
slfo	soộng
slno	soộn
slmo	soộm
slvo	soộp
slro	soột

ss1l	sạnh
ssul	sậu
ssjl	sậy
sscl	sậc
ssfl	sậng
ssnl	sận
ssml	sậm
ssvl	sập
ssrl	sật

ss1o	soạnh
ssuo	suậu
ssjo	suậy
ssco	suậc
ssfo	suậng
ssno	suận
ssmo	suậm
ssvo	suập
ssro	suật

sq1l	sạch
squl	sạu
sqjl	sạy
sqcl	sặc
sqfl	sặng
sqnl	sặn
sqml	sặm
sqvl	sặp
sqrl	sặt

sq1o	soạch
squo	soạu
sqjo	soạy
sqco	soặc
sqfo	soặng
sqno	soặn
sqmo	soặm
sqvo	soặp
sqro	soặt

st1l	sự
stul	sựu
stjl	sựi
stcl	sực
stfl	sựng
stnl	sựn
