

pwl	ợ
pnw	uốn
pmw	uốm
pvw	uốp
prw	uốt


qws	tớ
qwus	tớu
qwjs	tới
qwcs	tớc
qwfs	tớng
qwns	tớn
qwms	tớm
qwvs	tớp
qwrs	tớt

qww	tuớ
qwuw	tuớu
qwjw	tuới
qwcw	tuớc
qwfw	tuớng
qwnw	tuớn
qwmw	tuớm
qwvw	tuớp
qwrw	tuớt

qos	tó
qous	tóu
qojs	tói
qocs	tóc
qofs	tóng
qons	tón
qoms	tóm
qovs	tóp
qors	tót

qow	toó
qouw	toóu
qojw	toói
qocw	toóc
qofw	toóng
qonw	toón
qomw	toóm
qovw	toóp
qorw	toót

qas	tá
qaus	táo
qajs	tái
qacs	tác
qafs	táng
qans	tán
qams	tám
qavs	táp
qars	tát

qaw	toá
qauw	toáo
qajw	toái
qacw	toác
qafw	toáng
qanw	toán
qamw	toám
qavw	toáp
qarw	toát

qes	té
qeus	téo
qejs	téi
qecs	téc
qefs	téng
qens	tén
qems	tém
qevs	tép
qers	tét

qew	toé
qeuw	toéo
qejw	toéi
qecw	toéc
qefw	toéng
qenw	toén
qemw	toém
qevw	toép
qerw	toét

qds	tế
qdus	tếu
qdjs	tếy
qdcs	tếch
qdfs	tếnh
qdns	tến
qdms	tếm
qdvs	tếp
qdrs	tết

qdw	tuế
qduw	tuếu
qdjw	tuếy
qdcw	tuếch
qdfw	tuếnh
qdnw	tuến
qdmw	tuếm
qdvw	tuếp
qdrw	tuết

qis	tí
qius	tíu
qijs	tý
qics	tích
qifs	tính
qins	tín
qims	tím
qivs	típ
qirs	tít

qiw	tuí
qiuw	tuýu
qijw	tuý
qicw	tuých
qifw	tuýnh
qinw	tuýn
qimw	tuým
qivw	tuýp
qirw	tuýt

qks	tía
qkus	tiếu
qkjs	tiếy
qkcs	tiếc
qkfs	tiếng
qkns	tiến
qkms	tiếm
qkvs	tiếp
qkrs	tiết

qkw	tuýa
qkuw	tuyếu
qkjw	tuyếy
qkcw	tuyếc
qkfw	tuyếng
qknw	tuyến
qkmw	tuyếm
qkvw	tuyếp
qkrw	tuyết

qls	tố
qlus	tốu
qljs	tối
qlcs	tốc
qlfs	tống
qlns	tốn
qlms	tốm
qlvs	tốp
qlrs	tốt

qlw	toố
qluw	toốu
qljw	toối
qlcw	toốc
qlfw	toống
qlnw	toốn
qlmw	toốm
qlvw	toốp
qlrw	toốt

qss	tánh
qsus	tấu
qsjs	tấy
qscs	tấc
qsfs	tấng
qsns	tấn
qsms	tấm
qsvs	tấp
qsrs	tất

qsw	toánh
qsuw	tuấu
qsjw	tuấy
qscw	tuấc
qsfw	tuấng
qsnw	tuấn
qsmw	tuấm
qsvw	tuấp
qsrw	tuất

qqs	tách
qqus	táu
qqjs	táy
qqcs	tắc
qqfs	tắng
qqns	tắn
qqms	tắm
qqvs	tắp
qqrs	tắt

qqw	toách
qquw	toáu
qqjw	toáy
qqcw	toắc
qqfw	toắng
qqnw	toắn
qqmw	toắm
qqvw	toắp
qqrw	toắt

qts	tứ
qtus	tứu
qtjs	tứi
qtcs	tức
qtfs	tứng
qtns	tứn
qtms	tứm
qtvs	tứp
qtrs	tứt

qtw	tứa
qtuw	tướu
qtjw	tưới
qtcw	tước
qtfw	tướng
qtnw	tướn
qtmw	tướm
qtvw	tướp
qtrw	tướt

qps	tú
qpus	túu
qpjs	túi
qpcs	túc
qpfs	túng
qpns	tún
qpms	túm
qpvs	túp
qprs	tút

qpw	túa
qpuw	tuốu
qpjw	tuối
qpcw	tuốc
qpfw	tuống
qpnw	tuốn
qpmw	tuốm
qpvw	tuốp
qprw	tuốt

wws	thớ
wwus	thớu
wwjs	thới
wwcs	thớc
wwfs	thớng
wwns	thớn
wwms	thớm
wwvs	thớp
wwrs	thớt

www	thuớ
wwuw	thuớu
wwjw	thuới
wwcw	thuớc
wwfw	thuớng
wwnw	thuớn
wwmw	thuớm
wwvw	thuớp
wwrw	thuớt

wos	thó
wous	thóu
wojs	thói
wocs	thóc
wofs	thóng
wons	thón
woms	thóm
wovs	thóp
wors	thót

wow	thoó
wouw	thoóu
wojw	thoói
wocw	thoóc
wofw	thoóng
wonw	thoón
womw	thoóm
wovw	thoóp
worw	thoót

was	thá
waus	tháo
wajs	thái
wacs	thác
wafs	tháng
wans	thán
wams	thám
wavs	tháp
wars	thát

waw	thoá
wauw	thoáo
wajw	thoái
wacw	thoác
wafw	thoáng
wanw	thoán
wamw	thoám
wavw	thoáp
warw	thoát

wes	thé
weus	théo
wejs	théi
wecs	théc
wefs	théng
wens	thén
wems	thém
wevs	thép
wers	thét

wew	thoé
weuw	thoéo
wejw	thoéi
wecw	thoéc
wefw	thoéng
wenw	thoén
wemw	thoém
wevw	thoép
werw	thoét

wds	thế
wdus	thếu
wdjs	thếy
wdcs	thếch
wdfs	thếnh
wdns	thến
wdms	thếm
wdvs	thếp
wdrs	thết

wdw	thuế
wduw	thuếu
wdjw	thuếy
wdcw	thuếch
wdfw	thuếnh
wdnw	thuến
wdmw	thuếm
wdvw	thuếp
wdrw	thuết

wis	thí
wius	thíu
wijs	thý
wics	thích
wifs	thính
wins	thín
wims	thím
wivs	thíp
wirs	thít

wiw	thuí
wiuw	thuýu
wijw	thuý
wicw	thuých
wifw	thuýnh
winw	thuýn
wimw	thuým
wivw	thuýp
wirw	thuýt

wks	thía
wkus	thiếu
wkjs	thiếy
wkcs	thiếc
wkfs	thiếng
wkns	thiến
wkms	thiếm
wkvs	thiếp
wkrs	thiết

wkw	thuýa
wkuw	thuyếu
wkjw	thuyếy
wkcw	thuyếc
wkfw	thuyếng
wknw	thuyến
wkmw	thuyếm
wkvw	thuyếp
wkrw	thuyết

wls	thố
wlus	thốu
wljs	thối
wlcs	thốc
wlfs	thống
wlns	thốn
wlms	thốm
wlvs	thốp
wlrs	thốt

wlw	thoố
wluw	thoốu
wljw	thoối
wlcw	thoốc
wlfw	thoống
wlnw	thoốn
wlmw	thoốm
wlvw	thoốp
wlrw	thoốt

wss	thánh
wsus	thấu
wsjs	thấy
wscs	thấc
wsfs	thấng
wsns	thấn
wsms	thấm
wsvs	thấp
wsrs	thất

wsw	thoánh
wsuw	thuấu
wsjw	thuấy
wscw	thuấc
wsfw	thuấng
wsnw	thuấn
wsmw	thuấm
wsvw	thuấp
wsrw	thuất

wqs	thách
wqus	tháu
wqjs	tháy
wqcs	thắc
wqfs	thắng
wqns	thắn
wqms	thắm
wqvs	thắp
wqrs	thắt

wqw	thoách
wquw	thoáu
wqjw	thoáy
wqcw	thoắc
wqfw	thoắng
wqnw	thoắn
wqmw	thoắm
wqvw	thoắp
wqrw	thoắt

wts	thứ
wtus	thứu
wtjs	thứi
wtcs	thức
wtfs	thứng
wtns	thứn
wtms	thứm
wtvs	thứp
wtrs	thứt

wtw	thứa
wtuw	thướu
wtjw	thưới
wtcw	thước
wtfw	thướng
wtnw	thướn
wtmw	thướm
wtvw	thướp
wtrw	thướt

wps	thú
wpus	thúu
wpjs	thúi
wpcs	thúc
wpfs	thúng
wpns	thún
wpms	thúm
wpvs	thúp
wprs	thút

wpw	thúa
wpuw	thuốu
wpjw	thuối
wpcw	thuốc
wpfw	thuống
wpnw	thuốn
wpmw	thuốm
wpvw	thuốp
wprw	thuốt

jws	đớ
jwus	đớu
jwjs	đới
jwcs	đớc
jwfs	đớng
jwns	đớn
jwms	đớm
jwvs	đớp
jwrs	đớt

jww	đuớ
jwuw	đuớu
jwjw	đuới
jwcw	đuớc
jwfw	đuớng
jwnw	đuớn
jwmw	đuớm
jwvw	đuớp
jwrw	đuớt

jos	đó
jous	đóu
jojs	đói
jocs	đóc
jofs	đóng
jons	đón
joms	đóm
jovs	đóp
jors	đót

jow	đoó
jouw	đoóu
jojw	đoói
jocw	đoóc
jofw	đoóng
jonw	đoón
jomw	đoóm
jovw	đoóp
jorw	đoót

jas	đá
jaus	đáo
jajs	đái
jacs	đác
jafs	đáng
jans	đán
jams	đám
javs	đáp
jars	đát

jaw	đoá
jauw	đoáo
jajw	đoái
jacw	đoác
jafw	đoáng
janw	đoán
jamw	đoám
javw	đoáp
jarw	đoát

jes	đé
jeus	đéo
jejs	đéi
jecs	đéc
jefs	đéng
jens	đén
jems	đém
jevs	đép
jers	đét

jew	đoé
jeuw	đoéo
jejw	đoéi
jecw	đoéc
jefw	đoéng
jenw	đoén
jemw	đoém
jevw	đoép
jerw	đoét

jds	đế
jdus	đếu
jdjs	đếy
jdcs	đếch
jdfs	đếnh
jdns	đến
jdms	đếm
jdvs	đếp
jdrs	đết

jdw	đuế
jduw	đuếu
jdjw	đuếy
jdcw	đuếch
jdfw	đuếnh
jdnw	đuến
jdmw	đuếm
jdvw	đuếp
jdrw	đuết

jis	đí
jius	đíu
jijs	đý
jics	đích
jifs	đính
jins	đín
jims	đím
jivs	đíp
jirs	đít

jiw	đuí
jiuw	đuýu
jijw	đuý
jicw	đuých
jifw	đuýnh
jinw	đuýn
jimw	đuým
jivw	đuýp
jirw	đuýt

jks	đía
jkus	điếu
jkjs	điếy
jkcs	điếc
jkfs	điếng
jkns	điến
jkms	điếm
jkvs	điếp
jkrs	điết

jkw	đuýa
jkuw	đuyếu
jkjw	đuyếy
jkcw	đuyếc
jkfw	đuyếng
jknw	đuyến
jkmw	đuyếm
jkvw	đuyếp
jkrw	đuyết

jls	đố
jlus	đốu
jljs	đối
jlcs	đốc
jlfs	đống
jlns	đốn
jlms	đốm
jlvs	đốp
jlrs	đốt

jlw	đoố
jluw	đoốu
jljw	đoối
jlcw	đoốc
jlfw	đoống
jlnw	đoốn
jlmw	đoốm
jlvw	đoốp
jlrw	đoốt

jss	đánh
jsus	đấu
jsjs	đấy
jscs	đấc
jsfs	đấng
jsns	đấn
jsms	đấm
jsvs	đấp
jsrs	đất

jsw	đoánh
jsuw	đuấu
jsjw	đuấy
jscw	đuấc
jsfw	đuấng
jsnw	đuấn
jsmw	đuấm
jsvw	đuấp
jsrw	đuất

jqs	đách
jqus	đáu
jqjs	đáy
jqcs	đắc
jqfs	đắng
jqns	đắn
jqms	đắm
jqvs	đắp
jqrs	đắt

jqw	đoách
jquw	đoáu
jqjw	đoáy
jqcw	đoắc
jqfw	đoắng
jqnw	đoắn
jqmw	đoắm
jqvw	đoắp
jqrw	đoắt

jts	đứ
jtus	đứu
jtjs	đứi
jtcs	đức
jtfs	đứng
jtns	đứn
jtms	đứm
jtvs	đứp
jtrs	đứt

jtw	đứa
jtuw	đướu
jtjw	đưới
jtcw	đước
jtfw	đướng
jtnw	đướn
jtmw	đướm
jtvw	đướp
jtrw	đướt

jps	đú
jpus	đúu
jpjs	đúi
jpcs	đúc
jpfs	đúng
jpns	đún
jpms	đúm
jpvs	đúp
jprs	đút

jpw	đúa
jpuw	đuốu
jpjw	đuối
jpcw	đuốc
jpfw	đuống
jpnw	đuốn
jpmw	đuốm
jpvw	đuốp
jprw	đuốt

dws	dớ
dwus	dớu
dwjs	dới
dwcs	dớc
dwfs	dớng
dwns	dớn
dwms	dớm
dwvs	dớp
dwrs	dớt

dww	duớ
dwuw	duớu
dwjw	duới
dwcw	duớc
dwfw	duớng
dwnw	duớn
dwmw	duớm
dwvw	duớp
dwrw	duớt

dos	dó
dous	dóu
dojs	dói
docs	dóc
dofs	dóng
dons	dón
doms	dóm
dovs	dóp
dors	dót

dow	doó
douw	doóu
dojw	doói
docw	doóc
dofw	doóng
donw	doón
domw	doóm
dovw	doóp
dorw	doót

das	dá
daus	dáo
dajs	dái
dacs	dác
dafs	dáng
dans	dán
dams	dám
davs	dáp
dars	dát

daw	doá
dauw	doáo
dajw	doái
dacw	doác
dafw	doáng
danw	doán
damw	doám
davw	doáp
darw	doát

des	dé
deus	déo
dejs	déi
decs	déc
defs	déng
dens	dén
dems	dém
devs	dép
ders	dét

dew	doé
deuw	doéo
dejw	doéi
decw	doéc
defw	doéng
denw	doén
demw	doém
devw	doép
derw	doét

dds	dế
ddus	dếu
ddjs	dếy
ddcs	dếch
ddfs	dếnh
ddns	dến
ddms	dếm
ddvs	dếp
ddrs	dết

ddw	duế
dduw	duếu
ddjw	duếy
ddcw	duếch
ddfw	duếnh
ddnw	duến
ddmw	duếm
ddvw	duếp
ddrw	duết

dis	dí
dius	díu
dijs	dý
dics	dích
difs	dính
dins	dín
dims	dím
divs	díp
dirs	dít

diw	duí
diuw	duýu
dijw	duý
dicw	duých
difw	duýnh
dinw	duýn
dimw	duým
divw	duýp
dirw	duýt

dks	día
dkus	diếu
dkjs	diếy
dkcs	diếc
dkfs	diếng
dkns	diến
dkms	diếm
dkvs	diếp
dkrs	diết

dkw	duýa
dkuw	duyếu
dkjw	duyếy
dkcw	duyếc
dkfw	duyếng
dknw	duyến
dkmw	duyếm
dkvw	duyếp
dkrw	duyết

dls	dố
dlus	dốu
dljs	dối
dlcs	dốc
dlfs	dống
dlns	dốn
dlms	dốm
dlvs	dốp
dlrs	dốt

dlw	doố
dluw	doốu
dljw	doối
dlcw	doốc
dlfw	doống
dlnw	doốn
dlmw	doốm
dlvw	doốp
dlrw	doốt

dss	dánh
dsus	dấu
dsjs	dấy
dscs	dấc
dsfs	dấng
dsns	dấn
dsms	dấm
dsvs	dấp
dsrs	dất

dsw	doánh
dsuw	duấu
dsjw	duấy
dscw	duấc
dsfw	duấng
dsnw	duấn
dsmw	duấm
dsvw	duấp
dsrw	duất

dqs	dách
dqus	dáu
dqjs	dáy
dqcs	dắc
dqfs	dắng
dqns	dắn
dqms	dắm
dqvs	dắp
dqrs	dắt

dqw	doách
dquw	doáu
dqjw	doáy
dqcw	doắc
dqfw	doắng
dqnw	doắn
dqmw	doắm
dqvw	doắp
dqrw	doắt

dts	dứ
dtus	dứu
dtjs	dứi
dtcs	dức
dtfs	dứng
dtns	dứn
dtms	dứm
dtvs	dứp
dtrs	dứt

dtw	dứa
dtuw	dướu
dtjw	dưới
dtcw	dước
dtfw	dướng
dtnw	dướn
dtmw	dướm
dtvw	dướp
dtrw	dướt

dps	dú
dpus	dúu
dpjs	dúi
dpcs	dúc
dpfs	dúng
dpns	dún
dpms	dúm
dpvs	dúp
dprs	dút

dpw	dúa
dpuw	duốu
dpjw	duối
dpcw	duốc
dpfw	duống
dpnw	duốn
dpmw	duốm
dpvw	duốp
dprw	duốt

uws	chớ
uwus	chớu
uwjs	chới
uwcs	chớc
uwfs	chớng
uwns	chớn
uwms	chớm
uwvs	chớp
uwrs	chớt

uww	chuớ
uwuw	chuớu
uwjw	chuới
uwcw	chuớc
uwfw	chuớng
uwnw	chuớn
uwmw	chuớm
uwvw	chuớp
uwrw	chuớt

uos	chó
uous	chóu
uojs	chói
uocs	chóc
uofs	chóng
uons	chón
uoms	chóm
uovs	chóp
uors	chót

uow	choó
uouw	choóu
uojw	choói
uocw	choóc
uofw	choóng
uonw	choón
uomw	choóm
uovw	choóp
uorw	choót

uas	chá
uaus	cháo
uajs	chái
uacs	chác
uafs	cháng
uans	chán
uams	chám
uavs	cháp
uars	chát

uaw	choá
uauw	choáo
uajw	choái
uacw	choác
uafw	choáng
uanw	choán
uamw	choám
uavw	choáp
uarw	choát

ues	ché
ueus	chéo
uejs	chéi
uecs	chéc
uefs	chéng
uens	chén
uems	chém
uevs	chép
uers	chét

uew	choé
ueuw	choéo
uejw	choéi
uecw	choéc
uefw	choéng
uenw	choén
uemw	choém
uevw	choép
uerw	choét

uds	chế
udus	chếu
udjs	chếy
udcs	chếch
udfs	chếnh
udns	chến
udms	chếm
udvs	chếp
udrs	chết

udw	chuế
uduw	chuếu
udjw	chuếy
udcw	chuếch
udfw	chuếnh
udnw	chuến
udmw	chuếm
udvw	chuếp
udrw	chuết

uis	chí
uius	chíu
uijs	chý
uics	chích
uifs	chính
uins	chín
uims	chím
uivs	chíp
uirs	chít

uiw	chuí
uiuw	chuýu
uijw	chuý
uicw	chuých
uifw	chuýnh
uinw	chuýn
uimw	chuým
uivw	chuýp
uirw	chuýt

uks	chía
ukus	chiếu
ukjs	chiếy
ukcs	chiếc
ukfs	chiếng
ukns	chiến
ukms	chiếm
ukvs	chiếp
ukrs	chiết

ukw	chuýa
ukuw	chuyếu
ukjw	chuyếy
ukcw	chuyếc
ukfw	chuyếng
uknw	chuyến
ukmw	chuyếm
ukvw	chuyếp
ukrw	chuyết

uls	chố
ulus	chốu
uljs	chối
ulcs	chốc
ulfs	chống
ulns	chốn
ulms	chốm
ulvs	chốp
ulrs	chốt

ulw	choố
uluw	choốu
uljw	choối
ulcw	choốc
ulfw	choống
ulnw	choốn
ulmw	choốm
ulvw	choốp
ulrw	choốt

uss	chánh
usus	chấu
usjs	chấy
uscs	chấc
usfs	chấng
usns	chấn
usms	chấm
usvs	chấp
usrs	chất

usw	choánh
usuw	chuấu
usjw	chuấy
uscw	chuấc
usfw	chuấng
usnw	chuấn
usmw	chuấm
usvw	chuấp
usrw	chuất

uqs	chách
uqus	cháu
uqjs	cháy
uqcs	chắc
uqfs	chắng
uqns	chắn
uqms	chắm
uqvs	chắp
uqrs	chắt

uqw	choách
uquw	choáu
uqjw	choáy
uqcw	choắc
uqfw	choắng
uqnw	choắn
uqmw	choắm
uqvw	choắp
uqrw	choắt

uts	chứ
utus	chứu
utjs	chứi
utcs	chức
utfs	chứng
utns	chứn
utms	chứm
utvs	chứp
utrs	chứt

utw	chứa
utuw	chướu
utjw	chưới
utcw	chước
utfw	chướng
utnw	chướn
utmw	chướm
utvw	chướp
utrw	chướt

ups	chú
upus	chúu
upjs	chúi
upcs	chúc
upfs	chúng
upns	chún
upms	chúm
upvs	chúp
uprs	chút

upw	chúa
upuw	chuốu
upjw	chuối
upcw	chuốc
upfw	chuống
upnw	chuốn
upmw	chuốm
upvw	chuốp
uprw	chuốt

ows	trớ
owus	trớu
owjs	trới
owcs	trớc
owfs	trớng
owns	trớn
owms	trớm
owvs	trớp
owrs	trớt

oww	truớ
owuw	truớu
owjw	truới
owcw	truớc
owfw	truớng
ownw	truớn
owmw	truớm
owvw	truớp
owrw	truớt

oos	tró
oous	tróu
oojs	trói
oocs	tróc
oofs	tróng
oons	trón
ooms	tróm
oovs	tróp
oors	trót

oow	troó
oouw	troóu
oojw	troói
oocw	troóc
oofw	troóng
oonw	troón
oomw	troóm
oovw	troóp
oorw	troót

oas	trá
oaus	tráo
oajs	trái
oacs	trác
oafs	tráng
oans	trán
oams	trám
oavs	tráp
oars	trát

oaw	troá
oauw	troáo
oajw	troái
oacw	troác
oafw	troáng
oanw	troán
oamw	troám
oavw	troáp
oarw	troát

oes	tré
oeus	tréo
oejs	tréi
oecs	tréc
oefs	tréng
oens	trén
oems	trém
oevs	trép
oers	trét

oew	troé
oeuw	troéo
oejw	troéi
oecw	troéc
oefw	troéng
oenw	troén
oemw	troém
oevw	troép
oerw	troét

ods	trế
odus	trếu
odjs	trếy
odcs	trếch
odfs	trếnh
odns	trến
odms	trếm
odvs	trếp
odrs	trết

odw	truế
oduw	truếu
odjw	truếy
odcw	truếch
odfw	truếnh
odnw	truến
odmw	truếm
odvw	truếp
odrw	truết

ois	trí
oius	tríu
oijs	trý
oics	trích
oifs	trính
oins	trín
oims	trím
oivs	tríp
oirs	trít

oiw	truí
oiuw	truýu
oijw	truý
oicw	truých
oifw	truýnh
oinw	truýn
oimw	truým
oivw	truýp
oirw	truýt

oks	tría
okus	triếu
okjs	triếy
okcs	triếc
okfs	triếng
okns	triến
okms	triếm
okvs	triếp
okrs	triết

okw	truýa
okuw	truyếu
okjw	truyếy
okcw	truyếc
okfw	truyếng
oknw	truyến
okmw	truyếm
okvw	truyếp
okrw	truyết

ols	trố
olus	trốu
oljs	trối
olcs	trốc
olfs	trống
olns	trốn
olms	trốm
olvs	trốp
olrs	trốt

olw	troố
oluw	troốu
oljw	troối
olcw	troốc
olfw	troống
olnw	troốn
olmw	troốm
olvw	troốp
olrw	troốt

oss	tránh
osus	trấu
osjs	trấy
oscs	trấc
osfs	trấng
osns	trấn
osms	trấm
osvs	trấp
osrs	trất

osw	troánh
osuw	truấu
osjw	truấy
oscw	truấc
osfw	truấng
osnw	truấn
osmw	truấm
osvw	truấp
osrw	truất

oqs	trách
oqus	tráu
oqjs	tráy
oqcs	trắc
oqfs	trắng
oqns	trắn
oqms	trắm
oqvs	trắp
oqrs	trắt

oqw	troách
oquw	troáu
oqjw	troáy
oqcw	troắc
oqfw	troắng
oqnw	troắn
oqmw	troắm
oqvw	troắp
oqrw	troắt

ots	trứ
otus	trứu
otjs	trứi
otcs	trức
otfs	trứng
otns	trứn
otms	trứm
otvs	trứp
otrs	trứt

otw	trứa
otuw	trướu
otjw	trưới
otcw	trước
otfw	trướng
otnw	trướn
otmw	trướm
otvw	trướp
otrw	trướt

ops	trú
opus	trúu
opjs	trúi
opcs	trúc
opfs	trúng
opns	trún
opms	trúm
opvs	trúp
oprs	trút

opw	trúa
opuw	truốu
opjw	truối
opcw	truốc
opfw	truống
opnw	truốn
opmw	truốm
opvw	truốp
oprw	truốt

rws	rớ
rwus	rớu
rwjs	rới
rwcs	rớc
rwfs	rớng
rwns	rớn
rwms	rớm
rwvs	rớp
rwrs	rớt

rww	ruớ
rwuw	ruớu
rwjw	ruới
rwcw	ruớc
rwfw	ruớng
rwnw	ruớn
rwmw	ruớm
rwvw	ruớp
rwrw	ruớt

ros	ró
rous	róu
rojs	rói
rocs	róc
rofs	róng
rons	rón
roms	róm
rovs	róp
rors	rót

row	roó
rouw	roóu
rojw	roói
rocw	roóc
rofw	roóng
ronw	roón
romw	roóm
rovw	roóp
rorw	roót

ras	rá
raus	ráo
rajs	rái
racs	rác
rafs	ráng
rans	rán
rams	rám
ravs	ráp
rars	rát

raw	roá
rauw	roáo
rajw	roái
racw	roác
rafw	roáng
ranw	roán
ramw	roám
ravw	roáp
rarw	roát

res	ré
reus	réo
rejs	réi
recs	réc
refs	réng
rens	rén
rems	rém
revs	rép
rers	rét

rew	roé
reuw	roéo
rejw	roéi
recw	roéc
refw	roéng
renw	roén
remw	roém
revw	roép
rerw	roét

rds	rế
rdus	rếu
rdjs	rếy
rdcs	rếch
rdfs	rếnh
rdns	rến
rdms	rếm
rdvs	rếp
rdrs	rết

rdw	ruế
rduw	ruếu
rdjw	ruếy
rdcw	ruếch
rdfw	ruếnh
rdnw	ruến
rdmw	ruếm
rdvw	ruếp
rdrw	ruết

ris	rí
rius	ríu
rijs	rý
rics	rích
rifs	rính
rins	rín
rims	rím
rivs	ríp
rirs	rít

riw	ruí
riuw	ruýu
rijw	ruý
ricw	ruých
rifw	ruýnh
rinw	ruýn
rimw	ruým
rivw	ruýp
rirw	ruýt

rks	ría
rkus	riếu
rkjs	riếy
rkcs	riếc
rkfs	riếng
rkns	riến
rkms	riếm
rkvs	riếp
rkrs	riết

rkw	ruýa
rkuw	ruyếu
rkjw	ruyếy
rkcw	ruyếc
rkfw	ruyếng
rknw	ruyến
rkmw	ruyếm
rkvw	ruyếp
rkrw	ruyết

rls	rố
rlus	rốu
rljs	rối
rlcs	rốc
rlfs	rống
rlns	rốn
rlms	rốm
rlvs	rốp
rlrs	rốt

rlw	roố
rluw	roốu
rljw	roối
rlcw	roốc
rlfw	roống
rlnw	roốn
rlmw	roốm
rlvw	roốp
rlrw	roốt

rss	ránh
rsus	rấu
rsjs	rấy
rscs	rấc
rsfs	rấng
rsns	rấn
rsms	rấm
rsvs	rấp
rsrs	rất

rsw	roánh
rsuw	ruấu
rsjw	ruấy
rscw	ruấc
rsfw	ruấng
rsnw	ruấn
rsmw	ruấm
rsvw	ruấp
rsrw	ruất

rqs	rách
rqus	ráu
rqjs	ráy
rqcs	rắc
rqfs	rắng
rqns	rắn
rqms	rắm
rqvs	rắp
rqrs	rắt

rqw	roách
rquw	roáu
rqjw	roáy
rqcw	roắc
rqfw	roắng
rqnw	roắn
rqmw	roắm
rqvw	roắp
rqrw	roắt

rts	rứ
rtus	rứu
rtjs	rứi
rtcs	rức
rtfs	rứng
rtns	rứn
rtms	rứm
rtvs	rứp
rtrs	rứt

rtw	rứa
rtuw	rướu
rtjw	rưới
rtcw	rước
rtfw	rướng
rtnw	rướn
rtmw	rướm
rtvw	rướp
rtrw	rướt

rps	rú
rpus	rúu
rpjs	rúi
rpcs	rúc
rpfs	rúng
rpns	rún
rpms	rúm
rpvs	rúp
rprs	rút

rpw	rúa
rpuw	ruốu
rpjw	ruối
rpcw	ruốc
rpfw	ruống
rpnw	ruốn
rpmw	ruốm
rpvw	ruốp
rprw	ruốt

lws	lớ
lwus	lớu
lwjs	lới
lwcs	lớc
lwfs	lớng
lwns	lớn
lwms	lớm
lwvs	lớp
lwrs	lớt

lww	luớ
lwuw	luớu
lwjw	luới
lwcw	luớc
lwfw	luớng
lwnw	luớn
lwmw	luớm
lwvw	luớp
lwrw	luớt

los	ló
lous	lóu
lojs	lói
locs	lóc
lofs	lóng
lons	lón
loms	lóm
lovs	lóp
lors	lót

low	loó
louw	loóu
lojw	loói
locw	loóc
lofw	loóng
lonw	loón
lomw	loóm
lovw	loóp
lorw	loót

las	lá
laus	láo
lajs	lái
lacs	lác
lafs	láng
lans	lán
lams	lám
lavs	láp
lars	lát

law	loá
lauw	loáo
lajw	loái
lacw	loác
lafw	loáng
lanw	loán
lamw	loám
lavw	loáp
larw	loát

les	lé
leus	léo
lejs	léi
lecs	léc
lefs	léng
lens	lén
lems	lém
levs	lép
lers	lét

lew	loé
leuw	loéo
lejw	loéi
lecw	loéc
lefw	loéng
lenw	loén
lemw	loém
levw	loép
lerw	loét

lds	lế
ldus	lếu
ldjs	lếy
ldcs	lếch
ldfs	lếnh
ldns	lến
ldms	lếm
ldvs	lếp
ldrs	lết

ldw	luế
lduw	luếu
ldjw	luếy
ldcw	luếch
ldfw	luếnh
ldnw	luến
ldmw	luếm
ldvw	luếp
ldrw	luết

lis	lí
lius	líu
lijs	lý
lics	lích
lifs	lính
lins	lín
lims	lím
livs	líp
lirs	lít

liw	luí
liuw	luýu
lijw	luý
licw	luých
lifw	luýnh
linw	luýn
limw	luým
livw	luýp
lirw	luýt

lks	lía
lkus	liếu
lkjs	liếy
lkcs	liếc
lkfs	liếng
lkns	liến
lkms	liếm
lkvs	liếp
lkrs	liết

lkw	luýa
lkuw	luyếu
lkjw	luyếy
lkcw	luyếc
lkfw	luyếng
lknw	luyến
lkmw	luyếm
lkvw	luyếp
lkrw	luyết

lls	lố
llus	lốu
lljs	lối
llcs	lốc
llfs	lống
llns	lốn
llms	lốm
llvs	lốp
llrs	lốt

llw	loố
lluw	loốu
lljw	loối
llcw	loốc
llfw	loống
llnw	loốn
llmw	loốm
llvw	loốp
llrw	loốt

lss	lánh
lsus	lấu
lsjs	lấy
lscs	lấc
lsfs	lấng
lsns	lấn
lsms	lấm
lsvs	lấp
lsrs	lất

lsw	loánh
lsuw	luấu
lsjw	luấy
lscw	luấc
lsfw	luấng
lsnw	luấn
lsmw	luấm
lsvw	luấp
lsrw	luất

lqs	lách
lqus	láu
lqjs	láy
lqcs	lắc
lqfs	lắng
lqns	lắn
lqms	lắm
lqvs	lắp
lqrs	lắt

lqw	loách
lquw	loáu
lqjw	loáy
lqcw	loắc
lqfw	loắng
lqnw	loắn
lqmw	loắm
lqvw	loắp
lqrw	loắt

lts	lứ
ltus	lứu
ltjs	lứi
ltcs	lức
ltfs	lứng
ltns	lứn
ltms	lứm
ltvs	lứp
ltrs	lứt

ltw	lứa
ltuw	lướu
ltjw	lưới
ltcw	lước
ltfw	lướng
